icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
06a040,A7-AEF,AIRBUS,Airbus,A330-302,A333,721,,L2J,Qatar Airways,QATARI,QTR,QR,Qatar Airways,F-WWKJ,2006-02-17,,,2006-01-01,,,,false,false,false,,
a9df6e,N735UP,,Cessna,182Q,,18265697,,,,,,,Summitt Aviation Llc,,,2021-11-30,,1977-01-01,,,CONT MOTOR O-470 SERIES,false,false,false,,
8960fa,A6-EDY,AIRBUS,Airbus,A380 861,A388,106,,L4J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
e48e6c,PR-ONS,AIRBUS,Airbus,A320 214SL,A320,5754,,L2J,,OCEANAIR,ONE,,Avianca Brasil,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a08a1a,N134AN,AIRBUS,Airbus,A321-231,A321,6495,,L2J,American Airlines,AMERICAN,AAL,AA,Wells Fargo Trust Co Na Trustee,,,2021-03-31,,2015-01-01,,,IAE V2533-A5,false,false,false,,Large (75000 to 300000 lbs)
a399de,N331DN,,Airbus,A321-211,,7943,,,,,,,Bank Of Utah Trustee,,,2023-05-31,,2017-01-01,,,CFM INTL CFM56-5B3/3,false,false,false,,Large (75000 to 300000 lbs)
aaa8d0,N786WM,PILATUS,Pilatus Aircraft Ltd,PC-12/47,PC12,786,,L1T,,,,,Jacksons Food Stores Inc,,,2022-03-31,,2007-01-01,,,P&W CANADA PT6A-67B,false,false,false,,Light (< 15500 lbs)
4ba749,TC-IZI,BOEING,Boeing,737NG 8GJ/W,B738,34904,,L2J,,SUNTURK,PGT,,Pegasus Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a9dbc1,N734UZ,,Cessna,172N,,17269137,,,,,,,Dream Unthreatened Llc,,,2023-09-30,,1977-01-01,,,LYCOMING 0-320 SERIES,false,false,false,,Light (< 15500 lbs)
8a0639,PK-LUU,AIRBUS,Airbus,A320 214SL,A320,7659,,L2J,,,,,Batik Air,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
aa1156,N748MA,BOEING,Boeing,Boeing 737NG 8K5/W,B738,39094,,L2J,Miami Air International,BISCAYNE,BSK,GL,Miami Air International,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a3e6b1,N350VJ,BOMBARDIER,Bombardier Inc,BD-100-1A10,CL35,20569,,L2J,,,,,Tvpx Ars Inc Trustee,,,2023-06-30,,2015-01-01,,,HONEYWELL AS907-2-1A,false,false,false,,Small (15500 to 75000 lbs)
896487,A6-FHG,LEONARDO,Leonardo,AW.169,A169,69024,,H2T,Falcon Aviation Services,FALCON AVIATION,FVS,,Falcon Aviation Services,,,,,,,,,false,false,false,,Rotorcraft
867904,JA717A,BOEING,Boeing,777 281ER,B772,33415,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a03649,N1122K,CESSNA,Cessna,Citation Excel,C56X,560-5283,,L2J,Priester Aviation,PRIESTER,PWA,,Priester Aviation,,,,,,,,,false,false,false,,
47340a,HA-LPJ,AIRBUS,Airbus,A320 232,A320,3127,,L2J,,WIZZ AIR,WZZ,,Wizz Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
440833,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
155c06,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a34119,N309DN,AIRBUS,Airbus,A321-211,A321,7268,,L2J,,DELTA,DAL,,Bank Of Utah Trustee,,,2023-05-31,,2016-01-01,,,CFM INTL CFM56-5B3/3,false,false,false,,No ADS-B Emitter Category Information
4ca513,EI-FOB,BOEING,The Boeing Company,BOEING 737-8AS,B738,44710,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2015-11-24,,,2015-01-01,,,2x CFM CFM56-7B26E,false,false,false,,No ADS-B Emitter Category Information
a47fde,N38955,BOEING,Boeing,787-9,B789,37814,,L2J,,UNITED,UAL,,United Airlines Inc,,,2021-05-31,,2015-01-01,,,GE GENX-1B74/75/,false,false,false,,
06a2b3,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
a72732,N560CX,CESSNA,Cessna,560,C560,560-0582,,L2J,,,,,Spudaire Llc,,,2022-11-30,,2001-01-01,,,P&W CANADA PW535A,false,false,false,,Light (< 15500 lbs)
a45f51,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
a4c811,N407QS,EMBRAER,Embraer Executive Aircraft Inc,EMB-505,E55P,50500405,,L2J,,EXECJET,EJA,,Netjets Sales Inc,,,2024-03-31,,2017-01-01,,,P&W CANADA PW535E,false,false,false,,Small (15500 to 75000 lbs)
4ca766,EI-EFK,BOEING,The Boeing Company,BOEING 737-8AS,B738,37537,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2009-06-24,,,2009-01-01,,,2x CFM CFM56-7B,false,false,false,,No ADS-B Emitter Category Information
aa244a,N7523T,ROBINSON,Robinson Helicopter Company,R44 II,R44,10311,,H1P,,,,,November Alpha Llc,,,2023-03-31,,2004-01-01,,,LYCOMING IO-540 SER,false,false,false,,
8a0394,PK-AZA,AIRBUS,Airbus,A320 216,A320,5165,,L2J,,WAGON AIR,AWQ,,Indonesia Airasia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3949e6,F-GSPG,BOEING,Boeing,777 228ER,B772,27609,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ad5d5f,N960NN,BOEING,Boeing,737-823,B738,33330,,L2J,,AMERICAN,AAL,,Wilmington Trust Co Trustee,,,2023-11-30,,2014-01-01,,,CFM INTL CFM56-7B24E,false,false,false,,No ADS-B Emitter Category Information
aa5d2e,N767SW,BOEING,Boeing,737-7H4,B737,29807,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2023-08-31,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c3b23,VH-LYT,CESSNA,Cessna Aircraft Company,208B,C208,208B1208,,L1T,,,,,"Delta Tango Sierra Pty Ltd, As Trustee For Delta Tango Unit Trust",,,,,2006-01-01,,,1x Pratt & Whitney Canada PT6A-114A,false,false,false,,Light (< 15500 lbs)
a6cfb7,N538SB,,Piper,PA-32R-301T,,3257174,,,,,,,Burroughs Scott,,,2021-07-31,,2000-01-01,,,LYCOMING TI0-540 SER,false,false,false,,
43e7f0,M-USTG,CESSNA,Cessna,Citation Mustang,C510,510-0089,,L2J,,,,,Osm Aviation,,,,,,,,,false,false,false,,Light (< 15500 lbs)
780235,B-LAJ,AIRBUS,Airbus,A330 342,A333,1163,,L2J,,CATHAY,CPA,,Cathay Pacific Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4ba92f,TC-JIO,AIRBUS,Airbus,A330 223,A332,869,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
c0809f,C-GWSK,BOEING,Boeing,737-6CT (Boeing),B736,34287,,L2J,,WESTJET,WJA,,Westjet,,2006-03-31,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0ac30e,HK-5051,AIRBUS,Airbus,A320 214,A320,1757,,L2J,,,VVC,,Vivacolombia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4243e8,VQ-BWG,BOEING,Boeing,737NG 8LJ/W,B738,41205,,L2J,,POBEDA,PBD,,Pobeda,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a63665,N5MV,,Dassault Aviation,FALCON 900EX,F9EX,221,,,,,,,Wing And Rotor Transportation Holdings Llc,,,2021-06-30,,2008-01-01,,,HONEYWELL TFE731-60-1C,false,false,false,,Small (15500 to 75000 lbs)
a2564e,N25MX,LEARJET,Dassault Aviation,MYSTERE FALCON 900,LJ60,182,,L2J,,,,,Ace Parts Llc,,,2023-11-30,,1999-01-01,,,HONEYWELL TFE731-5BR-1C,false,false,false,,
a69911,N524PB,SIKORSKY,Sikorsky,S-92A,S92,920275,,H2T,Era Helicopters,ERAH,ERH,,Era Helicopters Llc,,,2021-06-30,,2015-01-01,,,GE CT7-8A,false,false,false,,
8990ae,B-18655,BOEING,Boeing,737NG 8MA/W,B738,40945,,L2J,,DYNASTY,CAL,,China Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ad2f71,N949JT,AIRBUS,Airbus,A321-231,A321,6575,,L2J,,JETBLUE,JBU,,Jetblue Airways Corp,,,2021-05-31,,2015-01-01,,,IAE V2533-A5,false,false,false,,No ADS-B Emitter Category Information
750457,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
aa83be,N777HG,,Beech,A36,,E-777,,,,,,,Procyon Group Inc,,,2021-07-31,,1975-01-01,,,CONT MOTOR IO 520 SERIES,false,false,false,,Light (< 15500 lbs)
e48d37,PR-ATW,ATR,Avions De Transport Regional,ATR 72 600,AT76,1046,,L2T,,,AZU,,Azul Linhas Aereas Brasileiras,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
882c73,HS-KCS,CESSNA,Cessna,Citation X,C750,750-0298,,L2J,,,,,M Jets,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
846d0c,JA15AN,BOEING,Boeing,737NG 781/W,B737,33888,,L2J,,AIR DO,ADO,,Air Do,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
8a05d5,PK-GQN,AIRBUS,Airbus,A320 214SL,A320,7091,,L2J,,,,,Citilink,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ad78ff,N9673Y,,Beech,P35,,D-7094,,,,,,,Cluff Alan A,,,2024-02-29,,1962-01-01,,,CONT MOTOR IO-470-N,false,false,false,,Light (< 15500 lbs)
a2e7d1,N28683,,Grumman American Avn. Corp.,AA-5B,,AA5B0755,,,,,,,Siry Steven,,,2021-07-31,,1978-01-01,,,LYCOMING O&VO-360 SER,false,false,false,,Light (< 15500 lbs)
601842,EZ-A010,BOEING,Boeing,Boeing 757 23A,B752,25345,,L2J,,TURKMENISTAN,TUA,,Turkmenistan Airlines,,,,,,,,,false,false,false,,
344344,EC-LUX,AIRBUS,Airbus,A330 302,A333,1405,,L2J,,IBERIA,IBE,,Iberia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac993c,N9101X,,Cessna,182D,,18253501,,,,,,,Mcnitt James B Dba,,,,,1961-01-01,,,CONT MOTOR O-470 SERIES,false,false,false,,Light (< 15500 lbs)
a8d5bd,N669AW,AIRBUS,Airbus,A320-232,A320,1792,,L2J,American Airlines,AMERICAN,AAL,AA,U S Bank Na Trustee,,,2021-05-31,,2002-01-01,,,IAE V2500SERIES,false,false,false,,Large (75000 to 300000 lbs)
a8d4d2,N66837,BOEING,Boeing,737-924ER,B739,60122,,L2J,,UNITED,UAL,,United Airlines Inc,,,2023-11-30,,2014-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,Large (75000 to 300000 lbs)
a9db94,N734TD,,Cessna,172N,,17269093,,,,,,,Bell Air & Sea Llc,,,2023-02-28,,1977-01-01,,,LYCOMING 0-320 SERIES,false,false,false,,Light (< 15500 lbs)
4ba93a,TC-JIZ,AIRBUS,Airbus,A330 223,A332,1118,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
e48986,PR-GUJ,BOEING,Boeing,737NG 8EH/W,B738,35851,,L2J,,GOL TRANSPORTE,GLO,,Gol Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780ed3,B-7087,BOEING,Boeing,737NG 85N/W,B738,39969,,L2J,,SHANDONG,CDG,,Shandong Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a5628c,N446SW,CANADAIR,Bombardier Inc,CL-600-2B19,CRJ2,7666,,L2J,,SKYWEST,SKW,,Skywest Airlines Inc,,,2022-01-31,,2002-01-01,,,GE CF34 SERIES,false,false,false,,
a60b1e,N489MC,,Boeing,747-412F,,26553,,,Atlas Air,GIANT,GTI,5Y,Bank Of Utah Trustee,,,2021-06-30,,1995-01-01,,,P & W PW4056,false,false,false,,
a0a837,N141UP,AIRBUS,Airbus Industrie,A300F4-622R,A306,0824,,L2J,United Parcel Service,UPS,UPS,5X,United Parcel Service Co,,,2023-02-28,,2002-01-01,,,P & W PW4158,false,false,false,,
040045,ET-AOO,BOEING,Boeing,Boeing 787-8,B788,34743,39,L2J,Ethiopian Airlines,ETHIOPIAN,ETH,ET,Ethiopian Airlines,,2013-07-31,,,2013-01-01,,,,false,false,false,,Heavy (> 300000 lbs)
4ca2d6,EI-DLJ,BOEING,The Boeing Company,BOEING 737-8AS,B738,34177,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2006-03-28,,,2005-01-01,,,2x CFM CFM56-7B26,false,false,false,,No ADS-B Emitter Category Information
aa32c4,N75600,,Cessna,172N,,17267840,,,,,,,Airspeed Marketing Llc,,,2023-02-28,,1976-01-01,,,LYCOMING 0-320 SERIES,false,false,false,,Light (< 15500 lbs)
86d5fa,JA824A,BOEING,Boeing,787 8,B788,42247,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
800d09,VT-IZB,AIRBUS,Airbus Industrie,,A20N,8455,,L2J,Indigo Airlines,IFLY,IGO,6E,Aircastle,,,,,,,,,false,false,false,,
7c6b2e,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
424341,VP-BLB,BOEING,Boeing,757 231,B752,30319,,L2J,Royal Flight,,DME,,Royal Flight,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
e48be3,PR-MYT,AIRBUS,Airbus,A320 214,A320,5184,,L2J,,TAM,TAM,,Latam Brasil,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a88e63,N650T,,Beech,95,,TD-125,,,,,,,Doherty Carl Jr Trustee,,,2022-05-31,,1958-01-01,,,LYCOMING O&VO-360 SER,false,false,false,,Light (< 15500 lbs)
aaed16,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a7121e,N555BG,CESSNA,Cessna,525,C525,525-0113,,L2J,,,,,N & E Aviation Llc,,,2022-09-30,,1995-01-01,,,WILLIAMS FJ44-1A,false,false,false,,
ac7419,N901NK,AIRBUS,Airbus,A320-271N,A20N,6833,,L2J,,SPIRIT WINGS,NKS,,Wilmington Trust Co Trustee,,,2022-10-31,,2016-01-01,,,IAE PW1127G-JM,false,false,false,,No ADS-B Emitter Category Information
e493b6,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a02b92,N11TQ,EUROCOPTER,Airbus Helicopters,EC 130 T2,EC30,8044,,H1T,,,,,Nevada Helicopter Leasing Llc,,,2024-04-30,,2014-01-01,,,TURBOMECA ARRIEL 2D,false,false,false,,
c8244b,ZK-MVP,ATR,Avions De Transport Regional,ATR 72 600,AT76,1444,,L2T,,,,,Air New Zealand Link,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
7c6c9c,VH-VQM,AIRBUS,Airbus,A320 232,A320,2608,,L2J,,JETSTAR,JST,,Jetstar Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
781054,B-6996,BOEING,Boeing,767 338ERBCF,B763,29118,,L2J,,,,,Sf Airlines,,,,,,,,,false,false,false,,
ab934e,N845KA,RAYTHEON,Hawker Beechcraft Corp,B300,B350,FL-845,,L2T,,,,,Mountain G Enterprises Inc,,,2021-08-31,,2013-01-01,,,P&W CANADA PT6A-60A,false,false,false,,
e80446,CC-BEE,AIRBUS,Airbus,A321 211SL,A321,6698,,L2J,,LAN,LAN,,Latam Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3985a7,F-HBNH,AIRBUS,Airbus,A320 214,A320,4800,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780a5c,B-KQL,BOEING,Boeing,777 367ER,B77W,41431,,L2J,,CATHAY,CPA,,Cathay Pacific Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c4e45,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
8963d9,A6-EPJ,BOEING,Boeing,777 31HER,B77W,42329,,L2J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
c822ec,ZK-MVH,ATR,Avions De Transport Regional,ATR 72 600,AT76,1304,,L2T,,,,,Air New Zealand Link,,,,,,,,,false,false,false,,
06a0b4,A7-BCP,BOEING,Boeing,787 8,B788,38334,,L2J,,QATARI,QTR,,Qatar Airways,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
7805a3,B-6586,AIRBUS,Airbus,A320 232,A320,3775,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4b17e5,HB-JBH,BOMBARDIER,C Series Aircraft Limited Partnership,BD-500-1A10 (CS100),BCS1,50017,,L2J,Swiss International Air Lines,SWISS,SWR,LX,Lhami Leasing Limited,,2017-05-09,,,2017-01-01,,,PRATT & WHITNEY PW1524G,false,false,false,,Large (75000 to 300000 lbs)
78122f,B-8862,AIRBUS,Airbus,A330 343E,A333,1809,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
ab184d,N814AW,AIRBUS,Airbus Industrie,A319-132,A319,1281,,L2J,,AMERICAN,AAL,,Wilmington Trust Co Trustee,,,2022-02-28,,2000-01-01,,,IAE V2500SERIES,false,false,false,,
4baa74,TC-JST,AIRBUS,Airbus,A321 231SL,A321,6682,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4ca849,EI-EMA,BOEING,The Boeing Company,BOEING 737-8AS,B738,35032,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2010-04-12,,,2010-01-01,,,2x CFM CFM56-7B,false,false,false,,No ADS-B Emitter Category Information
e80451,CC-BGK,BOEING,Boeing,787 9,B789,38474,,L2J,,LAN,LAN,,Latam Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
8963e4,A6-EOG,AIRBUS,Airbus,A380 861,A388,172,,L4J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
394a01,F-GSQB,BOEING,Boeing,777 328ER,B77W,32724,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac02b4,N873NN,BOEING,Boeing,737-823,B738,40766,,L2J,,AMERICAN,AAL,,Wilmington Trust Co Trustee,,,2023-09-30,,2011-01-01,,,CFM INTL CFM56-7B24E,false,false,false,,Large (75000 to 300000 lbs)
899035,B-16730,BOEING,Boeing,777 300ER,B77W,62286,,L2J,,EVA,EVA,,Eva Air,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
4bb162,TC-LKB,BOEING,Boeing,777 36NER,B77W,41819,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a24b40,N247NV,AIRBUS,Airbus,A320-214,A320,7704,,L2J,Allegiant Air,ALLEGIANT,AAY,G4,Sunrise Asset Management Llc,,,2023-06-30,,2017-01-01,,,CFM INTL CFM56-5B4/3,false,false,false,,No ADS-B Emitter Category Information
abc513,N858AC,CESSNA,Cessna,441,C441,441-0321,,L2T,,,,,Conquest Enterprises Of Marquette Llc,,,2022-04-30,,1983-01-01,,,AMA/EXPR UNKNOWN ENG,false,false,false,,
780f1e,B-8338,AIRBUS,Airbus,A320 232SL,A320,6932,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
394650,F-GRSQ,AIRBUS,Airbus,A330 243,A332,501,,L2J,Xl Airways France,STARWAY,SEU,SE,Xl Airways France,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a96c96,N706TW,BOEING,Boeing,757-2Q8,B752,28165,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2022-09-30,,1997-01-01,,,P & W PW2037,false,false,false,,High Vortex Large (aircraft such as B-757)
502cd0,YL-CSG,BOMBARDIER,Bombardier,Bombardier C Series 300,BCS3,55009,,L2J,,AIRBALTIC,BTI,,Air Baltic,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
4ca854,EI-EML,BOEING,The Boeing Company,BOEING 737-8AS,B738,38513,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2010-05-20,,,2010-01-01,,,2x CFM CFM56-7B,false,false,false,,No ADS-B Emitter Category Information
846b34,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
8a02f1,PK-LJV,BOEING,Boeing,737NG 8GP/W,B738,38721,,L2J,,LION INTER,LNI,,Lion Air,,,,,,,,,false,false,false,,
a19404,N200WN,BOEING,Boeing,737-7H4,B737,32482,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2022-09-30,,2005-01-01,,,CFM INTL. CFM56 SERIES,false,false,false,,No ADS-B Emitter Category Information
e06611,LV-FXQ,BOEING,Boeing,737NG 8MB/W,B738,43881,,L2J,,ARGENTINA,ARG,,Aerolineas Argentinas,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
424052,VP-BQW,AIRBUS,Airbus,A320 214,A320,2947,,L2J,,SVERDLOVSK AIR,SVR,,Ural Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a7ccf0,N601WF,,Smith Stephen R,ZODIAC XL,,6-6773,,,,,,,Smith Stephen R,,,2023-01-31,,2007-01-01,,,JABIRU 3300,false,false,false,,Light (< 15500 lbs)
ad325b,N95AN,CESSNA,Cessna,550,C55B,550-0978,,L2J,,,,,Grp Inc,,,2023-09-30,,2001-01-01,,,P&W CANADA 530A,false,false,false,,Light (< 15500 lbs)
7802a9,B-6287,AIRBUS,Airbus,A320 214,A320,2899,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
8686cc,JA753A,BOEING,Boeing,777 381,B773,28273,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a81b63,N621QS,,Textron Aviation Inc,680A,,680A0163,,,,,,,Netjets Sales Inc,,,2022-10-31,,2018-01-01,,,P&W CANADA PW306D1,false,false,false,,
ada521,N979AN,BOEING,Boeing,737-823,B738,29568,,L2J,American Airlines,AMERICAN,AAL,AA,Wilmington Trust Co Trustee,,,2023-01-31,,2009-01-01,,,CFM INTL CFM56-7B24/3,false,false,false,,Large (75000 to 300000 lbs)
06a087,A7-AHA,AIRBUS,Airbus,A320 232,A320,4110,,L2J,,QATARI,QTR,,Qatar Airways,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
34320d,EC-KRJ,EMBRAER,Embraer,EMB-195 LR,E195,19000196,,L2J,,EUROPA,AEA,,Air Europa Express,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a417ae,N363CL,BOMBARDIER,Bombardier,Challenger 300,CL30,20063,,L2J,,,,,Devonwood Company Llc,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
7808ab,B-5680,BOEING,Boeing,737NG 89L/W,B738,40035,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
76cdc2,9V-SNB,BOEING,Boeing,777 312ER,B77W,42241,,L2J,,SINGAPORE,SIA,,Singapore Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
06a00f,A7-AAG,AIRBUS,Airbus,A320 232,A320,927,,L2J,Qatar Amiri Flight,AMIRI,QAF,,Qatar Amiri Flight,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
4ca7e5,EI-FVH,BOEING,The Boeing Company,BOEING 737-800,B738,42083,,L2J,,NORTRANS,IBK,,Norwegian Air International Limited,,2017-01-19,,,2017-01-01,,,2x CFM CFM56-7B26E,false,false,false,,Large (75000 to 300000 lbs)
885302,HS-TXB,AIRBUS,Airbus,A320 232,A320,5248,,L2J,Thai Smile Airways,THAI SMILE,,WE,Thai Smile,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a83b3e,N62989,BEECH,Beech,C-99,BE99,U-183,,L2T,,,,,Uas Transervices Inc,,,2023-04-30,,1982-01-01,,,P&W CANADA PT6A-60A,false,false,false,,Light (< 15500 lbs)
a519b7,N428DW,,Cessna,172S,,172S8708,,,,,,,Arizona Cloudbusters Inc,,,2022-11-30,,2001-01-01,,,LYCOMING I0360 SER,false,false,false,,Light (< 15500 lbs)
401407,G-AHIZ,OGMA,Morris Motors Ltd,DH82A TIGER MOTH Tiger Moth,DH82,4610,,L1P,,,,,Private,,1975-08-18,,,1944-01-01,,,1 x DE HAVILLAND GIPSY MAJOR 1C&nbsp;&nbsp;( HOFFMANN HO21 198B 140LK )<br>,false,false,false,,Light (< 15500 lbs)
45aa93,OY-JTS,BOEING,Boeing,737NG 7K2/W,B737,33465,,L2J,,,,,Jet Time,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3c09db,D-ASTA,AIRBUS,Airbus,A319 112,A319,4663,,L2J,,GERMANIA,GMI,,Germania,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a728a1,N560TP,CESSNA,Cessna,560,C560,5600271,,L2J,,,,,F3 Holdings Llc,,,2024-02-29,,1994-01-01,,,P&W CANADA JT15D-5D,false,false,false,,Light (< 15500 lbs)
aa68a8,N77WF,SWEARINGEN,Beech,E-90,BE9L,LW-4,,L2T,,,,,Wfas Inc,,,2021-10-31,,1972-01-01,,,,false,false,false,,Light (< 15500 lbs)
a6a739,N528FX,BOMBARDIER,Bombardier Inc,BD-100-1A10,CL30,20125,,L2J,,,,,Flexjet Llc,,,2022-04-30,,2006-01-01,,,AMA/EXPR UNKNOWN ENG,false,false,false,,
aa7e7a,N77536,BOEING,Boeing,737-824,B738,62766,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-09-30,,2016-01-01,,,CFM INTL CFM56-7B27E/F,false,false,false,,Large (75000 to 300000 lbs)
3c542c,D-AEAL,AIRBUS,Airbus,A300 B4-622RF,A306,679,,L2J,Dhl Air,WORLD EXPRESS,DHK,,Dhl Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c144d,VH-EAN,PANHA,Bell Helicopter Co,206B,B06,1198,,H1T,,,,,Matthews Joinery Pty Ltd,,,,,1974-01-01,,,1x Allison Gas Turbines 250-C20,false,false,false,,Rotorcraft
4caf85,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
06a092,A7-AHH,AIRBUS,Airbus,A320 232,A320,4700,,L2J,Qatar Airways,QATARI,QTR,QR,Qatar Airways,F-WWBD,2011-05-25,,,2011-01-01,,,,false,false,false,,Large (75000 to 300000 lbs)
ab7376,N837MH,BOEING,Boeing,767-432ER,B764,29710,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2022-05-31,,2000-01-01,,,GE CF6-80 SERIES,false,false,false,,Heavy (> 300000 lbs)
440c8d,OE-LBB,AIRBUS,Airbus Industries,A321-111,A321,570,,L2J,,AUSTRIAN,AUA,,Austrian Airlines Ag,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
